City,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
BANKURA,1991,10.821,12.781,59.793,16.393,45.616,244.121,272.428,519.412,243.253,89.735,4.843,22.91
BANKURA,1992,17.15,10.333,0.506,10.067,61.035,226.963,324.672,169.471,157.932,69.658,0.683,0
BANKURA,1993,2.4,0.763,58.873,71.97,80.157,336.249,313.407,340.218,337.531,132.309,9.278,0
BANKURA,1994,16.772,50.372,52.769,54.201,72.611,256.276,334.629,367.108,113.612,166.843,2.56,0
BANKURA,1995,15.519,28.105,29.832,14.832,75.319,86.175,298.291,264.474,396.262,101.614,20.234,0
BANKURA,1996,8.781,19.15,7.619,35.101,23.982,306.805,204.124,484.792,130.386,156.897,0.415,0
BANKURA,1997,30.184,15.615,37.33,63.779,113.365,60.538,396.965,418.125,259.5,50.025,16.566,12.5
BANKURA,1998,26.637,72.009,26.77,40.616,95.648,175.477,225.138,231.653,231.039,268.078,33.472,0
BANKURA,1999,6.264,5.026,0.342,0.461,132.667,190.636,279.284,458.25,428.65,58.844,12.722,0
BANKURA,2000,3.682,58.063,0.687,68.874,112.843,209.735,178.329,230.86,189.252,30.781,7.887,1.104
BANKURA,2001,0.525,4.989,64.74,31.432,96.106,221.01,196.214,279.982,94.206,136.039,11.371,0
BANKURA,2002,28.434,17.102,6.099,57.144,52.986,189.161,267.039,396.262,226.251,85.908,13.996,0
BIRBHUM,1901,34.24,35.301,6.011,22.667,59.373,102.761,271.778,350.499,222.268,50.263,24.475,0
BIRBHUM,1902,0.672,0.22,31.356,76.735,79.15,122.259,336.581,270.729,351.908,44.344,0.419,5.799
BIRBHUM,1903,5.001,18.04,20.399,49.534,59.097,181.059,133.852,307.175,204.324,161.449,2.229,0
BIRBHUM,1904,0,15.993,59.923,5.597,242.505,406.75,364.393,288.416,98.474,15.296,5.153,0.005
BIRBHUM,1905,18.589,56.052,75.754,48.819,125.553,54.462,404.168,373.96,253.504,50.212,0.005,0.315
BIRBHUM,1906,34.212,112.807,51.286,1.606,59.045,224.321,249.946,240.779,134.925,170.039,3.075,0.043
BIRBHUM,1907,0.377,40.404,82.259,41.937,65.245,285.508,197.521,239.963,205.82,28.159,0,4.871
BIRBHUM,1908,14.442,42.306,7.361,1.414,56.644,403.279,366.432,312.862,138.976,24.982,0.297,0.315
BIRBHUM,1909,12.84,9.145,0.264,112.458,51.526,378.075,186.093,465.124,212.906,35.205,1.597,6.55
BIRBHUM,1910,7.866,44.447,34.022,48.813,56.787,194.979,308.569,357.19,212.058,104.934,3.136,0
BIRBHUM,1911,0.495,0.589,48.136,12.211,51.66,583.546,140.772,289.694,241.702,140.248,10.62,0
BIRBHUM,1912,0.069,8.2,52.407,58.433,77.354,216.714,300.51,293.583,63.978,55.825,24.562,0.422
BIRBHUM,1913,0.271,51.336,51.605,9.337,124.946,585.171,199.3,372.293,186.209,81.682,3.981,10.282
BIRBHUM,1914,0,42.086,25.736,42.126,121.518,154.125,460.57,352.042,120.971,32.404,0,10.845
BIRBHUM,1915,4.239,21.115,64.088,15.308,87.469,251.659,243.875,356.175,222.823,62.721,20.243,0
BIRBHUM,1916,0.002,7.202,4.65,29.206,39.377,445.324,272.702,352.476,325.384,317.379,9.583,0
BIRBHUM,1917,1.504,42.687,22.113,24.577,130.273,217.458,298.013,225.373,304.8,290.394,5.297,0
BIRBHUM,1918,2.296,0.245,18.492,60.472,107.32,300.451,107.051,518.564,200.851,13.354,0.297,4.346
BIRBHUM,1919,15.979,31.792,23.139,31.753,92.348,258.875,268.641,468.008,156.813,111.175,14.589,0
BIRBHUM,1920,0.03,34.646,107.013,8.144,49.605,118.417,457.336,322.16,330.228,37.137,0.067,0
BIRBHUM,1921,37.571,4.695,16.22,27.311,37.269,246.997,272.454,449.498,177.547,30.027,0,0
BIRBHUM,1922,8.004,5.07,0.306,11.718,30.311,507.655,297.279,378.452,328.466,44.351,0.321,4.761
BIRBHUM,1923,0.795,72.716,12.02,7.898,22.406,150.016,249.709,371.006,140.36,102.213,5.101,1.767
BIRBHUM,1924,6.775,14.167,0.795,23.11,32.894,270.775,323.8,383.776,246.719,87.323,30.878,0
BIRBHUM,1925,48.941,15.304,11.841,82.345,70.725,300.914,447.228,276.629,219.274,63.387,3.697,0
BIRBHUM,1926,29.123,3.961,113.474,23.908,113.166,81.805,442.979,394.687,210.749,62.025,0.171,7.578
BIRBHUM,1927,19.143,108.731,51.1,13.206,72.058,281.757,272.354,294.35,105.257,56.712,14.007,0
BIRBHUM,1928,45.024,1.472,2.75,30.1,105.563,473.566,436.001,242.597,237.691,113.788,0.077,0.66
BIRBHUM,1929,33.718,6.695,37.55,35.819,50.235,168.254,331.629,218.382,113.949,310.947,0.075,5.589
BIRBHUM,1930,0.2,17.231,11.848,14.124,64.175,182.554,403.881,285.804,163.381,62.153,23.123,3.909
BIRBHUM,1931,14.68,93.164,36.853,6.925,79.463,155.487,392.306,210.385,394.187,70.328,10.313,0.523
BIRBHUM,1932,0.07,52.513,11.598,26.868,134.014,80.472,329.296,266.237,240.312,55.24,29.183,3.14
BIRBHUM,1933,44.378,25.977,2.778,55.374,102.573,308.119,298.105,443.322,158.392,106.244,0,0
BIRBHUM,1934,8.326,35.482,2.417,51.689,44.948,205.409,229.766,348.912,271.885,79.55,7.574,2.847
BIRBHUM,1935,16.572,18.174,18.239,19.215,17.904,168.514,188.389,549.282,301.351,11.481,0,1.865
BIRBHUM,1936,7.457,13.536,23.105,5.541,154.057,270.807,279.457,230.735,464.46,105.398,0.069,17.016
BIRBHUM,1937,0,51.986,10.193,56.981,78.97,266.651,179.919,418.803,286.822,154.088,1.072,0.825
BIRBHUM,1938,3.936,31.147,12.657,2.719,169.709,298.231,158.27,282.789,94.3,59.108,1.468,0
BIRBHUM,1939,8.261,20.981,11.754,19.843,43.267,228.554,446.997,373.906,303.533,156.482,2.444,0.264
BIRBHUM,1940,0,32.722,125.288,8.331,78.679,150.779,237.758,340.624,184.138,53.615,0.005,1.656
BIRBHUM,1941,35.045,0.591,14.296,19.339,53.224,367.118,327.56,446.965,244.321,195.095,24.95,0
BIRBHUM,1942,0.439,69.682,14.832,17.257,17.86,111.258,400.293,541.146,433.308,90.464,2.319,0.314
BIRBHUM,1943,44.541,20.298,23.486,113.779,63.764,190.975,588.696,368.666,222.364,68.929,0,0
BIRBHUM,1944,19.389,55.904,81.511,39.29,53.892,197.996,355.037,522.188,133.96,67.62,0,0
BIRBHUM,1945,29.816,31.232,9.826,79.517,70.473,198.441,225.861,361.663,296.991,189.386,0,0.66
BIRBHUM,1946,0,3.916,26.147,41.606,93.419,196.666,275.526,300.99,271.569,193.344,18.285,0.043
BIRBHUM,1947,2.337,12.849,40.413,6.689,65.544,213.643,325.358,324.383,336.686,67.581,0.073,6.396
